human,machine
08 feb 1989,1989-02-08
saturday february 10 2007,2007-02-10
17 december 1992,1992-12-17
1 02 73,1973-02-01
tuesday january 13 1970,1970-01-13
02 apr 1996,1996-04-02
saturday january 24 2004,2004-01-24
monday november 16 2015,2015-11-16
05 nov 1980,1980-11-05
november 11 1978,1978-11-11
wednesday july 10 1985,1985-07-10
thursday july 4 1996,1996-07-04
19 jan 2014,2014-01-19
22 mar 2008,2008-03-22
12 01 77,1977-01-12
25.10.95,1995-10-25
29 april 1970,1970-04-29
26 03 09,2009-03-26
07 jul 1976,1976-07-07
thursday september 29 2011,2011-09-29
21 may 2012,2012-05-21
21 05 16,2016-05-21
december 17 1979,1979-12-17
friday june 23 2000,2000-06-23
25.03.97,1997-03-25
thursday may 26 1994,1994-05-26
wednesday april 24 2013,2013-04-24
30.03.92,1992-03-30
june 2 1977,1977-06-02
tuesday february 25 1986,1986-02-25
7 nov 2011,2011-11-07
26 04 82,1982-04-26
thursday february 11 1982,1982-02-11
wednesday april 12 2017,2017-04-12
tuesday october 26 1982,1982-10-26
april 5 2003,2003-04-05
wednesday march 2 2011,2011-03-02
1/12/77,1977-01-12
saturday march 26 2016,2016-03-26
monday november 30 1992,1992-11-30
19 apr 1985,1985-04-19
7/13/07,2007-07-13
29 dec 1985,1985-12-29
friday may 14 1999,1999-05-14
friday october 22 1982,1982-10-22
saturday april 26 2014,2014-04-26
15 october 1990,1990-10-15
may 29 1980,1980-05-29
apr 28 2013,2013-04-28
22 october 2017,2017-10-22
15 jul 2013,2013-07-15
friday august 24 2012,2012-08-24
aug 23 1978,1978-08-23
20 september 2017,2017-09-20
18 11 88,1988-11-18
10 oct 2017,2017-10-10
june 3 2012,2012-06-03
thursday january 17 1991,1991-01-17
16.07.02,2002-07-16
2 september 1985,1985-09-02
27 aug 2001,2001-08-27
tuesday july 3 1979,1979-07-03
06 jul 1988,1988-07-06
tuesday november 14 2006,2006-11-14
october 28 2010,2010-10-28
saturday september 24 2005,2005-09-24
sunday march 20 1977,1977-03-20
wednesday march 5 1997,1997-03-05
wednesday july 14 2004,2004-07-14
tuesday october 26 2004,2004-10-26
15 august 1980,1980-08-15
18 jun 1989,1989-06-18
feb 13 1993,1993-02-13
friday april 17 1992,1992-04-17
monday march 19 2001,2001-03-19
10.01.71,1971-01-10
february 24 2013,2013-02-24
30 jan 2011,2011-01-30
thursday july 8 1982,1982-07-08
thursday july 20 1989,1989-07-20
may 27 2002,2002-05-27
october 26 2017,2017-10-26
21 october 2013,2013-10-21
september 19 1971,1971-09-19
friday august 5 1977,1977-08-05
17 february 1993,1993-02-17
15 jul 1984,1984-07-15
thursday september 10 1992,1992-09-10
sunday october 5 1975,1975-10-05
tuesday december 13 2005,2005-12-13
sunday august 8 1999,1999-08-08
04.01.99,1999-01-04
friday july 18 1980,1980-07-18
sunday december 11 2011,2011-12-11
4 july 2017,2017-07-04
friday january 9 1987,1987-01-09
april 10 1990,1990-04-10
1 04 18,2018-04-01
february 19 2003,2003-02-19
thursday december 14 1995,1995-12-14
thursday november 4 1976,1976-11-04
tuesday march 2 1971,1971-03-02
mar 2 2011,2011-03-02
monday march 1 1976,1976-03-01
saturday may 3 2003,2003-05-03
13 january 1975,1975-01-13
thursday march 27 2003,2003-03-27
2 june 1986,1986-06-02
february 19 1983,1983-02-19
25.05.72,1972-05-25
tuesday july 24 1984,1984-07-24
wednesday april 6 2011,2011-04-06
friday september 11 1992,1992-09-11
february 23 1994,1994-02-23
31 jan 2007,2007-01-31
17.10.12,2012-10-17
feb 18 1990,1990-02-18
september 11 2000,2000-09-11
11.12.81,1981-12-11
tuesday september 15 1970,1970-09-15
3 jun 1985,1985-06-03
sunday march 19 1978,1978-03-19
thursday june 14 2001,2001-06-14
thursday october 13 2016,2016-10-13
4 march 2010,2010-03-04
14 october 2005,2005-10-14
friday december 6 1991,1991-12-06
wednesday june 7 2017,2017-06-07
6/6/85,1985-06-06
august 25 1981,1981-08-25
28 april 2003,2003-04-28
26 sep 2008,2008-09-26
friday september 14 2001,2001-09-14
wednesday may 14 2003,2003-05-14
jun 25 1986,1986-06-25
3 june 1986,1986-06-03
monday june 25 1979,1979-06-25
thursday december 7 1972,1972-12-07
january 19 2004,2004-01-19
2/12/06,2006-02-12
friday august 28 2009,2009-08-28
1 june 1999,1999-06-01
saturday may 10 2014,2014-05-10
august 5 1989,1989-08-05
jun 4 1977,1977-06-04
april 14 1978,1978-04-14
sunday december 8 1996,1996-12-08
jun 1 1971,1971-06-01
09 feb 2017,2017-02-09
january 29 1992,1992-01-29
26.10.01,2001-10-26
sunday january 12 2003,2003-01-12
28 jun 1987,1987-06-28
20 jul 1976,1976-07-20
28 february 2014,2014-02-28
30 september 2000,2000-09-30
tuesday may 7 2013,2013-05-07
14 10 91,1991-10-14
8 february 2013,2013-02-08
monday may 22 2017,2017-05-22
sunday february 26 1984,1984-02-26
wednesday january 23 1980,1980-01-23
monday december 19 1983,1983-12-19
sunday november 13 1994,1994-11-13
wednesday may 19 2010,2010-05-19
sunday february 28 1999,1999-02-28
18 august 2013,2013-08-18
june 29 1986,1986-06-29
february 24 2006,2006-02-24
wednesday november 7 2007,2007-11-07
5 12 00,2000-12-05
tuesday august 18 1992,1992-08-18
friday february 19 1982,1982-02-19
29 aug 1987,1987-08-29
21 12 07,2007-12-21
saturday may 29 1993,1993-05-29
12/18/13,2013-12-18
saturday october 17 1987,1987-10-17
tuesday march 16 2010,2010-03-16
monday august 19 1996,1996-08-19
thursday february 20 2003,2003-02-20
sunday november 4 2012,2012-11-04
sunday june 25 1995,1995-06-25
monday may 13 2002,2002-05-13
july 26 1989,1989-07-26
29 jun 1977,1977-06-29
27 november 1997,1997-11-27
06 nov 1991,1991-11-06
18 sep 1976,1976-09-18
saturday november 4 1978,1978-11-04
05 oct 1989,1989-10-05
tuesday july 24 1984,1984-07-24
friday december 14 2001,2001-12-14
25 feb 2014,2014-02-25
january 18 2015,2015-01-18
mar 24 2007,2007-03-24
07 jul 2017,2017-07-07
4/6/71,1971-04-06
november 10 1978,1978-11-10
tuesday january 11 2011,2011-01-11
saturday march 30 1996,1996-03-30
12 02 09,2009-02-12
26.01.92,1992-01-26
wednesday june 21 2017,2017-06-21
sunday july 29 2007,2007-07-29
sunday september 2 1990,1990-09-02
4/17/96,1996-04-17
dec 2 1987,1987-12-02
25 oct 2007,2007-10-25
thursday february 13 1986,1986-02-13
thursday may 20 1982,1982-05-20
30.03.17,2017-03-30
april 22 2003,2003-04-22
22 april 2004,2004-04-22
tuesday march 24 1970,1970-03-24
thursday april 30 1981,1981-04-30
25 11 87,1987-11-25
26 nov 2009,2009-11-26
wednesday october 24 1990,1990-10-24
friday april 6 2001,2001-04-06
monday november 4 2002,2002-11-04
21 jan 2001,2001-01-21
sunday july 9 1972,1972-07-09
14 jul 2013,2013-07-14
21 november 2007,2007-11-21
26 july 1985,1985-07-26
24 dec 1972,1972-12-24
thursday june 25 1970,1970-06-25
april 3 2013,2013-04-03
friday december 28 1990,1990-12-28
sunday september 10 2006,2006-09-10
9 06 02,2002-06-09
august 29 1993,1993-08-29
10/22/01,2001-10-22
04 dec 1994,1994-12-04
tuesday january 21 1992,1992-01-21
30 dec 1998,1998-12-30
12/25/13,2013-12-25
june 21 2007,2007-06-21
wednesday january 28 2015,2015-01-28
august 1 1984,1984-08-01
friday may 10 2002,2002-05-10
9 11 82,1982-11-09
sunday september 6 2015,2015-09-06
29 04 91,1991-04-29
10 03 06,2006-03-10
january 17 1999,1999-01-17
thursday september 6 2018,2018-09-06
7/23/84,1984-07-23
4 april 2003,2003-04-04
wednesday may 23 1990,1990-05-23
saturday july 15 1972,1972-07-15
february 17 1999,1999-02-17
19.12.82,1982-12-19
29 december 2016,2016-12-29
saturday october 11 1997,1997-10-11
12.04.86,1986-04-12
22 may 2007,2007-05-22
monday february 21 1972,1972-02-21
28 may 1994,1994-05-28
9/10/14,2014-09-10
tuesday march 25 1975,1975-03-25
02 jul 1990,1990-07-02
sunday august 4 1985,1985-08-04
may 24 1991,1991-05-24
10 11 98,1998-11-10
8 10 11,2011-10-08
july 18 1985,1985-07-18
2 may 2014,2014-05-02
22 12 80,1980-12-22
wednesday february 11 2009,2009-02-11
thursday december 25 2014,2014-12-25
22 oct 1976,1976-10-22
monday june 12 2006,2006-06-12
saturday april 6 1985,1985-04-06
monday march 19 2001,2001-03-19
17 june 2002,2002-06-17
10 april 2010,2010-04-10
december 21 2005,2005-12-21
tuesday october 22 1974,1974-10-22
december 5 2014,2014-12-05
june 24 2006,2006-06-24
9/19/71,1971-09-19
tuesday september 27 1983,1983-09-27
31 dec 1988,1988-12-31
sunday june 29 1997,1997-06-29
13 06 93,1993-06-13
march 30 2008,2008-03-30
07 feb 1979,1979-02-07
october 29 1980,1980-10-29
wednesday may 1 1974,1974-05-01
11 sep 2012,2012-09-11
10 march 1994,1994-03-10
sunday may 8 1983,1983-05-08
saturday march 11 2006,2006-03-11
7/31/73,1973-07-31
sunday march 1 2015,2015-03-01
sunday october 6 1991,1991-10-06
november 3 1971,1971-11-03
12.03.72,1972-03-12
4 june 1991,1991-06-04
11.06.70,1970-06-11
friday september 12 2003,2003-09-12
sunday february 4 1990,1990-02-04
22 jul 1994,1994-07-22
wednesday august 14 2002,2002-08-14
wednesday january 21 1976,1976-01-21
saturday september 11 2010,2010-09-11
august 3 1986,1986-08-03
december 1 1990,1990-12-01
28.07.75,1975-07-28
8 may 1984,1984-05-08
march 15 2005,2005-03-15
16 jul 1989,1989-07-16
27 04 86,1986-04-27
friday february 24 1978,1978-02-24
friday january 23 1981,1981-01-23
12 dec 1997,1997-12-12
august 16 1984,1984-08-16
01.10.12,2012-10-01
thursday september 24 1987,1987-09-24
friday november 19 2010,2010-11-19
17 august 1970,1970-08-17
saturday august 2 1980,1980-08-02
20 jun 1982,1982-06-20
13 feb 2009,2009-02-13
25 may 1985,1985-05-25
sunday june 11 2017,2017-06-11
saturday november 3 1979,1979-11-03
saturday december 4 1993,1993-12-04
january 28 1993,1993-01-28
friday may 16 2003,2003-05-16
november 29 2011,2011-11-29
january 14 2018,2018-01-14
saturday february 26 1983,1983-02-26
friday november 13 1992,1992-11-13
tuesday october 9 1990,1990-10-09
saturday january 16 2016,2016-01-16
wednesday november 25 1998,1998-11-25
wednesday may 17 2017,2017-05-17
wednesday february 7 1996,1996-02-07
december 26 1974,1974-12-26
3/20/77,1977-03-20
16 12 01,2001-12-16
4 jan 1998,1998-01-04
28.02.79,1979-02-28
tuesday november 20 1979,1979-11-20
27 feb 1984,1984-02-27
friday march 15 2002,2002-03-15
sunday july 19 1992,1992-07-19
saturday june 3 2017,2017-06-03
november 4 1977,1977-11-04
07 dec 1988,1988-12-07
1 01 93,1993-01-01
28 june 2008,2008-06-28
may 21 1983,1983-05-21
sunday october 1 2006,2006-10-01
wednesday october 29 2014,2014-10-29
december 14 1989,1989-12-14
tuesday december 8 1987,1987-12-08
feb 2 2009,2009-02-02
feb 11 2017,2017-02-11
1/15/15,2015-01-15
sunday july 21 1991,1991-07-21
09 sep 2018,2018-09-09
09.07.80,1980-07-09
tuesday april 3 1984,1984-04-03
12 aug 2013,2013-08-12
sunday july 3 2016,2016-07-03
11 jul 1972,1972-07-11
16.11.83,1983-11-16
december 12 2006,2006-12-12
may 10 1987,1987-05-10
3 may 2004,2004-05-03
tuesday december 26 1978,1978-12-26
10/1/02,2002-10-01
thursday august 4 1983,1983-08-04
friday june 4 1971,1971-06-04
sunday february 12 2017,2017-02-12
1 11 90,1990-11-01
wednesday september 26 2007,2007-09-26
monday july 15 1991,1991-07-15
30 apr 1979,1979-04-30
tuesday june 23 1987,1987-06-23
tuesday april 21 1981,1981-04-21
monday june 28 1982,1982-06-28
thursday march 19 1981,1981-03-19
7 may 1971,1971-05-07
thursday january 25 2001,2001-01-25
7 july 1982,1982-07-07
dec 29 1987,1987-12-29
05 jan 1975,1975-01-05
27 apr 2018,2018-04-27
tuesday april 15 1986,1986-04-15
4 october 2012,2012-10-04
friday february 2 2018,2018-02-02
june 25 1991,1991-06-25
20 january 1983,1983-01-20
friday april 7 2000,2000-04-07
wednesday july 29 1992,1992-07-29
saturday september 12 1987,1987-09-12
monday july 2 2007,2007-07-02
wednesday july 7 2004,2004-07-07
26 september 2003,2003-09-26
saturday july 27 2002,2002-07-27
10 oct 2004,2004-10-10
19 october 1992,1992-10-19
march 1 2012,2012-03-01
may 29 1997,1997-05-29
3/20/99,1999-03-20
8/3/00,2000-08-03
monday february 21 1972,1972-02-21
5/31/89,1989-05-31
5 april 1992,1992-04-05
monday april 12 2004,2004-04-12
friday november 29 2002,2002-11-29
11.03.99,1999-03-11
21 november 1983,1983-11-21
wednesday february 20 2013,2013-02-20
saturday june 23 1979,1979-06-23
thursday january 20 1977,1977-01-20
aug 2 1991,1991-08-02
wednesday july 25 2018,2018-07-25
monday october 23 1972,1972-10-23
august 3 2010,2010-08-03
09.03.86,1986-03-09
2 august 2018,2018-08-02
27 dec 1971,1971-12-27
tuesday december 15 1970,1970-12-15
monday september 11 1995,1995-09-11
may 4 2007,2007-05-04
8 feb 2018,2018-02-08
april 9 2007,2007-04-09
thursday july 8 1982,1982-07-08
friday january 24 1997,1997-01-24
25 may 1999,1999-05-25
september 4 2002,2002-09-04
jul 26 1993,1993-07-26
23 sep 1993,1993-09-23
7 january 2006,2006-01-07
thursday may 19 1988,1988-05-19
friday december 14 1990,1990-12-14
05 mar 2001,2001-03-05
aug 22 1981,1981-08-22
monday march 12 1990,1990-03-12
march 30 1982,1982-03-30
december 14 2013,2013-12-14
17 apr 1988,1988-04-17
january 13 1983,1983-01-13
october 10 2017,2017-10-10
saturday february 14 2009,2009-02-14
6 march 1991,1991-03-06
thursday june 1 1972,1972-06-01
march 29 1987,1987-03-29
5/23/00,2000-05-23
sunday june 18 2000,2000-06-18
sunday august 24 1986,1986-08-24
may 10 1973,1973-05-10
17 aug 2018,2018-08-17
sunday november 23 1975,1975-11-23
monday september 3 1984,1984-09-03
11 apr 1990,1990-04-11
thursday june 16 1994,1994-06-16
mar 2 2000,2000-03-02
18.12.84,1984-12-18
15 jul 1998,1998-07-15
28 jan 2005,2005-01-28
11 11 81,1981-11-11
11 11 13,2013-11-11
27 april 1970,1970-04-27
saturday september 19 1970,1970-09-19
monday november 1 2010,2010-11-01
july 1 1989,1989-07-01
monday december 29 2014,2014-12-29
17 05 13,2013-05-17
21 mar 1981,1981-03-21
28 june 2011,2011-06-28
21 jun 2009,2009-06-21
27 feb 1988,1988-02-27
2 june 1986,1986-06-02
10 nov 1997,1997-11-10
19 apr 2013,2013-04-19
monday april 16 2012,2012-04-16
may 20 1975,1975-05-20
may 5 1979,1979-05-05
tuesday january 23 1996,1996-01-23
thursday october 21 1999,1999-10-21
3 jun 1978,1978-06-03
3 august 1973,1973-08-03
saturday june 4 1988,1988-06-04
10 february 1987,1987-02-10
9/18/99,1999-09-18
10/3/13,2013-10-03
thursday april 21 1977,1977-04-21
november 14 2016,2016-11-14
saturday march 6 1982,1982-03-06
saturday june 16 1990,1990-06-16
05.06.74,1974-06-05
3/5/15,2015-03-05
sunday march 4 1990,1990-03-04
8 february 1996,1996-02-08
23 aug 1983,1983-08-23
friday october 12 1984,1984-10-12
thursday february 7 1991,1991-02-07
saturday january 19 1985,1985-01-19
1 march 1993,1993-03-01
friday june 17 2005,2005-06-17
25 sep 2013,2013-09-25
2 06 90,1990-06-02
wednesday march 6 2013,2013-03-06
april 4 2005,2005-04-04
sunday march 15 1992,1992-03-15
10 nov 1977,1977-11-10
02.01.11,2011-01-02
tuesday september 4 2012,2012-09-04
jun 4 1975,1975-06-04
10.04.10,2010-04-10
december 22 2016,2016-12-22
01.01.94,1994-01-01
27 july 2005,2005-07-27
9 september 1997,1997-09-09
tuesday december 10 2002,2002-12-10
15.09.71,1971-09-15
23 july 1973,1973-07-23
tuesday may 1 2007,2007-05-01
10 march 1999,1999-03-10
wednesday june 8 2011,2011-06-08
26 09 13,2013-09-26
19 november 2011,2011-11-19
monday october 4 1993,1993-10-04
13 march 1993,1993-03-13
6/18/08,2008-06-18
sunday october 19 2008,2008-10-19
04.06.17,2017-06-04
monday september 13 1971,1971-09-13
friday july 20 2001,2001-07-20
10/29/81,1981-10-29
9 july 1975,1975-07-09
wednesday june 13 1979,1979-06-13
10 12 72,1972-12-10
04 apr 1995,1995-04-04
thursday february 10 1972,1972-02-10
monday february 16 1976,1976-02-16
may 30 1975,1975-05-30
december 22 2009,2009-12-22
12 jan 1971,1971-01-12
12 12 16,2016-12-12
february 14 1996,1996-02-14
18 oct 1981,1981-10-18
06.07.17,2017-07-06
9 february 1970,1970-02-09
wednesday january 27 1982,1982-01-27
friday november 18 2016,2016-11-18
jun 2 2010,2010-06-02
4/23/94,1994-04-23
1 october 1973,1973-10-01
saturday october 9 2010,2010-10-09
9/9/13,2013-09-09
26 may 2017,2017-05-26
friday august 7 1998,1998-08-07
21 mar 2010,2010-03-21
thursday may 8 2003,2003-05-08
tuesday february 22 1983,1983-02-22
10 03 03,2003-03-10
january 2 1976,1976-01-02
24 may 2011,2011-05-24
thursday november 13 1980,1980-11-13
28 january 2005,2005-01-28
monday august 15 1983,1983-08-15
01 jan 2011,2011-01-01
wednesday march 15 2000,2000-03-15
thursday february 21 1980,1980-02-21
january 14 1987,1987-01-14
sunday october 7 1979,1979-10-07
21 aug 1992,1992-08-21
31 01 77,1977-01-31
24 09 95,1995-09-24
19 june 1971,1971-06-19
saturday march 10 2007,2007-03-10
thursday december 31 2015,2015-12-31
monday july 4 1994,1994-07-04
jan 12 1989,1989-01-12
november 9 2007,2007-11-09
august 27 1972,1972-08-27
december 28 2006,2006-12-28
march 14 1992,1992-03-14
june 8 2018,2018-06-08
5 february 1977,1977-02-05
mar 14 1994,1994-03-14
saturday march 2 2013,2013-03-02
28 jan 2005,2005-01-28
february 3 2002,2002-02-03
25 apr 2015,2015-04-25
11 may 2004,2004-05-11
wednesday may 9 2012,2012-05-09
25 november 1970,1970-11-25
saturday november 15 2008,2008-11-15
8 may 2003,2003-05-08
september 19 1972,1972-09-19
april 8 2002,2002-04-08
friday april 9 1971,1971-04-09
15 may 2008,2008-05-15
feb 20 2018,2018-02-20
sunday august 3 2014,2014-08-03
thursday april 18 1991,1991-04-18
16 05 81,1981-05-16
tuesday november 2 2004,2004-11-02
4 02 15,2015-02-04
16 nov 1973,1973-11-16
14 jan 2003,2003-01-14
tuesday september 6 1994,1994-09-06
28 jul 2001,2001-07-28
9 11 86,1986-11-09
2 03 05,2005-03-02
may 13 1979,1979-05-13
18 oct 1992,1992-10-18
11 january 2001,2001-01-11
wednesday february 18 2015,2015-02-18
25 11 92,1992-11-25
15 apr 1995,1995-04-15
sunday august 19 1984,1984-08-19
saturday august 17 1991,1991-08-17
sunday january 6 1974,1974-01-06
13 january 2013,2013-01-13
28 august 1994,1994-08-28
wednesday july 5 1995,1995-07-05
february 21 2009,2009-02-21
12 feb 2012,2012-02-12
monday december 13 1982,1982-12-13
friday october 28 1988,1988-10-28
monday september 28 1998,1998-09-28
23 sep 1977,1977-09-23
friday march 3 2006,2006-03-03
december 3 1973,1973-12-03
20 september 2012,2012-09-20
thursday august 14 2008,2008-08-14
friday january 16 1970,1970-01-16
24 jul 2011,2011-07-24
february 20 2017,2017-02-20
friday july 19 1974,1974-07-19
sep 20 2018,2018-09-20
october 18 1983,1983-10-18
thursday january 4 2018,2018-01-04
21 may 1976,1976-05-21
29 september 2006,2006-09-29
23 july 1976,1976-07-23
7 november 2008,2008-11-07
30 03 93,1993-03-30
friday march 6 1981,1981-03-06
saturday april 21 1979,1979-04-21
27 sep 2013,2013-09-27
24 july 1976,1976-07-24
2/18/00,2000-02-18
october 25 2001,2001-10-25
monday july 17 2006,2006-07-17
wednesday april 29 1981,1981-04-29
8 may 1988,1988-05-08
friday august 1 2014,2014-08-01
saturday september 8 1979,1979-09-08
saturday may 15 1982,1982-05-15
28 february 1982,1982-02-28
jul 31 1975,1975-07-31
19 jun 2001,2001-06-19
november 20 1990,1990-11-20
saturday december 19 2009,2009-12-19
monday october 27 1986,1986-10-27
6 aug 1991,1991-08-06
thursday november 8 2001,2001-11-08
22.11.84,1984-11-22
20 jan 1997,1997-01-20
12 may 1985,1985-05-12
8/18/11,2011-08-18
saturday october 23 2010,2010-10-23
wednesday april 17 1996,1996-04-17
10 february 1974,1974-02-10
tuesday november 22 2005,2005-11-22
tuesday september 13 1977,1977-09-13
tuesday june 18 2002,2002-06-18
18 november 2005,2005-11-18
january 11 2016,2016-01-11
6 december 2012,2012-12-06
11 july 1987,1987-07-11
6 sep 2002,2002-09-06
08.10.78,1978-10-08
21 december 2001,2001-12-21
24 mar 1978,1978-03-24
17 07 93,1993-07-17
tuesday november 9 2004,2004-11-09
wednesday october 12 1983,1983-10-12
5/18/71,1971-05-18
wednesday march 7 2012,2012-03-07
monday may 6 2002,2002-05-06
wednesday january 17 2001,2001-01-17
tuesday may 9 2000,2000-05-09
29 jan 2008,2008-01-29
18 november 1994,1994-11-18
wednesday november 20 1985,1985-11-20
18 dec 2017,2017-12-18
30 aug 2000,2000-08-30
27.06.02,2002-06-27
23 jan 1975,1975-01-23
apr 11 1973,1973-04-11
17 february 1980,1980-02-17
december 24 2009,2009-12-24
may 17 1978,1978-05-17
29.09.70,1970-09-29
04 jul 2000,2000-07-04
01 nov 2011,2011-11-01
12/5/82,1982-12-05
17 03 17,2017-03-17
sunday june 3 1979,1979-06-03
